1,A01-01 [황혼의 해안] 끝에서 [힐록] 처치
2,A01-02 [라이온아이 초소]로 들어가 [타클레이]와 대화하여 보상을 받습니다.
3,A01-03 [해안 지대]에 들어가 구역 끝까지 이동합니다. [웨이포인트를 확보] 하십시오. [갯벌]로 들어갑니다.
4,A01-04 [로아 둥지] 3개를 찾으십시오. [전복 상형 문자] [암모나이트 상형 문자] [고둥 상형 문자]를 찾으면 [이상한 상형 문자 벽]을 찾아 [물에 잠긴 길]을 엽니다. 
5,A01-05 [물에 잠긴 길]에 들어가 [웨이포인트를 확보] 합니다.
6,A01-06 웨이포인트를 타고 [해안 지대]로 돌아와 [물결 섬]으로 들어갑니다.
7,A01-07 [물결 섬] 끝에 있는 [우박 갈퀴]를 처치합니다.
8,A01-08 [로그아웃]후에 [네사]에게 [수은 플라스크]를 보상으로 받습니다.
9,A01-09 [타클레이]와 대화하여 젬을 보상으로 받습니다.
10,A01-10 웨이포인트를 타고 [물에 잠긴 길]로 이동합니다.
11,A01-11 [바위 턱]으로 나가는 출구를 찾습니다.
12,A01-12 [바위 턱]으로 나간 후 [웨이포인트를 확보] 하고 [고개]로 나가는 출구를 찾습니다.
13,A01-13 [고개]로 나간 후 구역의 끝까지 달려가세요. 만약 웨이포인트가 있다면 확보합니다.
14,A01-14 [수용소 하층]으로 진입한 후 [웨이포인트를 확보] 하세요.
15,A01-15 웨이포인트를 타고 [물에 잠긴 길]로 이동합니다. 충분히 빠르면 인스턴스가 열려 있어야합니다.
16,A01-16 [물에 잠긴 심연] 입구를 찾으십시오. 일반적으로 이것은 지도의 아래쪽 부분에 있습니다.
17,A01-17 [심연의 주인]을 처치후 [로그아웃]합니다.
18,A01-18 [타클레이]와 대화하여 [기술의 서]를 보상으로 받은 후 웨이포인트를 타고 [수용소 하층]으로 이동합니다.
19,A01-19 (Optional) : [수용소 하층]의 미궁을 완료합니다.
20,A01-20 [수용소 상층]으로 나가는 출구를 찾습니다.
21,A01-21 [간수의 숙소]로 향하는 출구를 찾아 즉시 [간수의 방]으로 이동합니다.
22,A01-22 [브루투스]를 처치. [죄수의 문]으로 빠져나와 [웨이포인트를 확보]하고 [라이온아이 초소]로 이동합니다.
23,A01-23 [타클레이]와 대화하여 젬을 보상으로 받습니다.
24,A01-24 웨이포인트를 타고 [죄수의 문]으로 이동합니다.
25,A01-25 [배들의 묘지]로 이동합니다.
26,A01-26 [웨이포인트를 확보]합니다. 항상 입구 근처에 있습니다.
27,A01-27 [배들의 묘지 동굴]을 찾고 들어갑니다.
28,A01-28 [올플레임]을 찾고 [배들의 묘지]로 돌아갑니다.
29,A01-29 [진노의 암굴]로 나가는 출구를 찾아 [웨이포인트를 확보] 합니다.
30,A01-30 웨이포인트를 타고 [배들의 묘지]로 이동합니다.
31,A01-31 [페어그레이브즈 선장]과 대화하고 처치합니다. 그는 항상 웨이포인트에 매우 가까운 곳에 있습니다.
32,A01-32 [로그아웃] 후에 [베스텔]과 대화하여 [기술의 서]를 보상으로 얻습니다.
33,A01-33 [네사]와 대화하여 젬 보상을 얻습니다.
34,A01-34 [진노의암굴 = 머베일의 암굴]로 이동합니다.
35,A01-35 [분노의 암굴] 출구를 찾아 나갑니다.
36,A01-36 [머베일의 소굴] 출구를 찾아 나갑니다.
37,A01-37 [머베일]을 처치하고 [남쪽 숲]으로 들어갑니다.
38,A01-38 구역을 통과하여 [숲 야영지]로 들어갑니다.
39,A02-01 오른쪽 방향으로 나가 [버려진 경작지]로 이동합니다.
40,A02-02 [갈림길]로 나가는 출구를 찾을 때까지 도로를 따라 갑니다.
41,A02-03 [갈림길]로 진입 후 웨이포인트를 찾을 때까지 도로를 따라간 후 [웨이포인트를 확보] 합니다.
42,A02-04 [죄악의 방 1층]을 찾을 때까지 위쪽 경로를 따라 가십시오.
43,A02-05 웨이포인트를 만나면 웨이포인트를 획득하고 [죄악의 방 2층]으로 나가세요.
44,A02-06 (Optional) : [죄악의 방 2층]에서 미궁을 찾아 완료하세요.
45,A02-07 [파이어티]를 찾아서 처치하세요. 그는 일반적으로 해당 지역의 왼쪽 상단에서 발견됩니다.
46,A02-08 [이상한 장치]에서 [사악한 젬]을 획득하고 [헬레나]와 대화후 [로그아웃] 합니다.
