1,(A1_0%) [▶액트 1장],
2,(A1_3%) [보상]   냉기 저항 10% | 정신력 30 | 패시브 포인트 4개 | 분해 작업대 | 생명력 최대치 20,
3,(A1_7%) [프롤로그]   마을(=클리어펠 야영지) 입장 후 대화  클리어 펠로 이동,
4,(A1_10%) [클리어펠]   썩은 무리의 베이라 처치(냉기 저항 10% 획득) + 진흙 토굴 입구 찾기, 
5,(A1_13%) [진흙 토굴]   생략 가능. 첫 캐릭터일 때만 젬을 얻기 위해 진행할 것,
6,(A1_17%) [진흙 토굴]   지네 보스 처리 후 마을 귀환 보상 스킬젬 획득 마을 렌리와 대화 보조젬 획득,
7,(A1_20%) [클리어펠]   클리어펠 웨이포인트로 이동 후 그렐우드 입구 찾기,
8,(A1_23%) [그렐우드]   그렐우드 웨이포인트 주위에 우나 NPC 소환 ,
9,(A1_27%) [그렐우드]   붉은 계곡을 찾습니다,
10,(A1_30%) [붉은 계곡]   오벨리스크 3개 찾기 퀘스트 진행 3번째 오벨리스크 파괴 시 녹왕 보스 등장,
11,(A1_33%) [붉은 계곡]   처치 후 마을로 복귀하여 랜리와 대화,
12,(A1_37%) [그렐우드]   그렐우드 웨이포인트로 이동해서 룬 가시  3개 박기,
13,(A1_40%) [그렐우드]   으스스한 동굴 입구 찾기 (맵 외곽이 아닌 중앙 쪽에 있음),
14,(A1_43%) [으스스한 동굴]   썩은 드루이드 보스 몹 처치 후 길을 따라 진행 후 영원한 자의 공동 묘지로 이동,
15,(A1_47%) [영원한 자의 공동 묘지]   배우자의 무덤에서 아시니아를 집정관의 능묘에서 드레이븐을 처치해서 열쇠 2개를 얻을 것,
16,(A1_50%) [영원한 자의 공동 묘지]   열쇠 2개를 얻고 웨이 포인트 주위에 라클라와 대화 후 문을 열고 들어가면 라클란 보스전,
17,(A1_53%) [영원한 자의 공동 묘지]   이후 사냥터로 이동,
18,(A1_57%) [사냥터]   까마귀 종 보스를 찾아서 처치 (도중에 오검 농지나 프레이쏜 입구 웨이만 찍고 돌아옴),
19,(A1_60%) [사냥터]   까마귀 종 처치 시 패시브 2 포인트 획득 + 이후 오검 농지로 이동,
20,(A1_63%) [오검 농지]   잃어버린 우나의 류트를 찾고 이후 마을. 우나와 대화하여 패시브 2 포인트 획득.  다시 오검 농지로 복귀,
21,(A1_67%) [오검 마을]   오검 마을을 발견하면 들어가서 웨이 포인트만 찍고 다시 사냥터 웨이포인트로 이동합니다 ,
22,(A1_70%) [사냥터]   프레이쏜 입구 찾기 (이전에 웨이를 찍었다면 바로 이동),
23,(A1_73%) [프레이쏜]   의식 제단을 모두 진행하고 마지막 의식 제단으로 이동하면 연무 속의 왕 보스전 처치 시 +정신력 30 획득,
24,(A1_77%) [프레이쏜]   이후 오검 마을로 이동,
25,(A1_80%) [오검 마을]   제련 도구 획득할 것(첫 캐릭터만 진행 분해 작업대 해금),
26,(A1_83%) [오검 마을]   이후 사형 집행자 찾아서 제거 후  레이스티 NPC 와 대화 후 뒤쪽의 저택 성벽으로 이동,
27,(A1_87%) [저택 성벽]   오검 저택 입구를 찾을 것,
28,(A1_90%) [오검 저택]   오검 저택 1층에 양초덩어리 보스 처치 처치 시 + 생명력 최대치 20 획득 ,
29,(A1_93%) [오검 저택]   (주의 : 낮은 생명력 빌드를 키우는 중이라면 보스를 패스하거나 잡아도 양초덩어리의 정수(생명력 20퀘템)를 루팅 하지 말 것),
30,(A1_97%) [오검 저택]   오검 저택 3층에에서 지오너 백작 보스전 ,
31,(A1_100%) [오검 저택]   이후 마을로 귀환 후 두건 쓴 자와 대하하여 액트 2로 진행,
32,(A2_0%) [▶액트 2장]   ,
33,(A2_2%) [보상]   번개 저항 10% |  패시브 포인트 4개 |  호신부 충전량 또는 플라스크 마나 회복 증가,
34,(A2_5%) [바리스타 외곽]   두건 쓴 자와 대화 후 자르카에게서 퀘스트 수주 맵을 진행하여 토성파괴자 처치,
